RTI,FTTI,1 Purchase cost (USD/veh),2 Std of purchase cost,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 Lifetime (y),9 Energy use (MJ/vkm),10 Loads (t or passengers/veh),11 Gamma,12 CO2 emissions (gCO2/km),13 Learning exponent,14 Turnover rate (1/y),15 Average mileage (km/y),16 Battery capacity (kWh),17 Battery cost ($/kWh)
1 Belgium (BE),PHEV LCV,101720.59375,25430.1484375,0.0939352884888649,0.023483822122216225,0.08100000023841858,0.024299999698996544,0.0949999988079071,15.0,2.349716901779175,0.6000000238418579,-0.3499999940395355,174.4002685546875,-0.0892999991774559,0.20000000298023224,20961.0,20.0,151.0
1 Belgium (BE),PHEV MDT,164484.359375,41121.08984375,0.28641238808631897,0.07160309702157974,0.11373227834701538,0.034119684249162674,0.0949999988079071,15.0,7.164378643035889,6.840000152587891,0.05999999865889549,506.7806701660156,-0.0892999991774559,0.20000000298023224,28393.0,51.25,151.0
1 Belgium (BE),PHEV HDT,383075.4375,114922.625,0.4272449016571045,0.10681122541427612,0.14300000667572021,0.042899999767541885,0.0949999988079071,14.0,10.687192916870117,18.40999984741211,0.1599999964237213,755.0179443359375,-0.0892999991774559,0.2142857164144516,51265.0,150.0,151.0
1 Belgium (BE),PHEV Bus,380000.0,114000.0,0.5034742951393127,0.12586857378482819,0.20000000298023224,0.05999999865889549,0.0949999988079071,14.0,12.594011306762695,17.860000610351562,0.019999999552965164,895.32568359375,-0.0892999991774559,0.2142857164144516,38680.0,125.0,151.0
1 Belgium (BE),BEV TWV,9999.0,9999.0,0.04127359390258789,0.003057618625462055,9999.0,9999.0,0.0949999988079071,7.0,0.16222479939460754,9999.0,0.0,0.0,-0.15200309455394745,0.4285714328289032,9999.0,1.0,151.0
1 Belgium (BE),BEV LCV,101720.59375,25430.1484375,0.08254718780517578,0.01928672567009926,0.08100000023841858,0.024299999698996544,0.0949999988079071,15.0,1.0232751369476318,0.6000000238418579,-0.4099999964237213,0.0,-0.15200309455394745,0.20000000298023224,20961.0,80.0,151.0
1 Belgium (BE),BEV MDT,164484.359375,41121.08984375,0.17104293406009674,0.03996330499649048,0.11373227834701538,0.034119684249162674,0.0949999988079071,15.0,2.1202900409698486,6.840000152587891,0.019999999552965164,0.0,-0.15200309455394745,0.20000000298023224,28393.0,205.0,151.0
1 Belgium (BE),BEV HDT,383075.4375,114922.625,0.2641296982765198,0.06171254441142082,0.14300000667572021,0.042899999767541885,0.0949999988079071,14.0,3.2742161750793457,18.40999984741211,-0.1599999964237213,0.0,-0.15200309455394745,0.2142857164144516,51265.0,600.0,151.0
1 Belgium (BE),BEV Bus,380000.0,114000.0,0.3088328540325165,0.07215721160173416,0.20000000298023224,0.05999999865889549,0.0949999988079071,14.0,3.8283677101135254,17.860000610351562,0.009999999776482582,0.0,-0.15200309455394745,0.2142857164144516,38680.0,500.0,151.0
1 Belgium (BE),Bioethanol TWV,9999.0,9999.0,0.10196526348590851,0.025491315871477127,9999.0,9999.0,0.0949999988079071,7.0,0.7764071822166443,9999.0,0.0,0.0,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
1 Belgium (BE),Bioethanol LCV,54106.69921875,13526.6748046875,0.40786105394363403,0.10196526348590851,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,3.105628728866577,0.6000000238418579,0.0,0.0,-0.07400000095367432,0.20000000298023224,20961.0,0.0,0.0
1 Belgium (BE),Bioethanol MDT,84406.453125,21101.61328125,1.0769106149673462,0.26922765374183655,0.17065252363681793,0.05119575932621956,0.0949999988079071,15.0,8.200057983398438,6.840000152587891,0.0,0.0,-0.07400000095367432,0.20000000298023224,28393.0,0.0,0.0
1 Belgium (BE),Bioethanol HDT,164484.359375,49345.30859375,1.4704688787460327,0.3676172196865082,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,11.19678020477295,18.40999984741211,0.0,0.0,-0.07400000095367432,0.2142857164144516,51265.0,0.0,0.0
1 Belgium (BE),Bioethanol Bus,190000.0,57000.0,2.1436707973480225,0.5359176993370056,0.25,0.07500000298023224,0.0949999988079071,14.0,16.322826385498047,17.860000610351562,0.0,0.0,-0.07400000095367432,0.2142857164144516,38680.0,0.0,0.0
1 Belgium (BE),FCEV TWV,9999.0,9999.0,0.039694350212812424,0.009923587553203106,9999.0,9999.0,0.0949999988079071,7.0,0.3817645311355591,9999.0,0.0,0.0,-0.28630000352859497,0.4285714328289032,9999.0,1.0,151.0
1 Belgium (BE),FCEV LCV,190455.578125,47613.89453125,0.1587774008512497,0.039694350212812424,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,1.5270581245422363,0.6000000238418579,0.0,0.0,-0.28630000352859497,0.20000000298023224,20961.0,15.0,151.0
1 Belgium (BE),FCEV MDT,209933.984375,52483.49609375,0.3598531484603882,0.08996328711509705,0.17065252363681793,0.05119575932621956,0.0949999988079071,15.0,3.460925340652466,6.840000152587891,0.0,0.0,-0.28630000352859497,0.20000000298023224,28393.0,40.0,151.0
1 Belgium (BE),FCEV HDT,525917.125,157775.125,0.5908826589584351,0.14772066473960876,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,5.682875633239746,18.40999984741211,0.0,0.0,-0.28630000352859497,0.2142857164144516,51265.0,75.0,151.0
1 Belgium (BE),FCEV Bus,800000.0,240000.0,0.8290501236915588,0.2072625309228897,0.25,0.07500000298023224,0.0949999988079071,14.0,7.973475933074951,17.860000610351562,0.03999999910593033,0.0,-0.28630000352859497,0.2142857164144516,38680.0,75.0,151.0
2 Denmark (DK),Petrol TWV,9999.0,9999.0,0.03461060672998428,0.00865265168249607,9999.0,9999.0,0.0949999988079071,7.0,0.8037093877792358,9999.0,0.0,62.74177932739258,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
2 Denmark (DK),Petrol LCV,54106.69921875,13526.6748046875,0.172402486205101,0.04310062155127525,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,4.0034403800964355,0.6000000238418579,-0.23000000417232513,217.7669219970703,-0.07400000095367432,0.20000000298023224,29186.0,0.0,0.0
2 Denmark (DK),Petrol MDT,84406.453125,21101.61328125,0.3527400493621826,0.08818501234054565,0.17065252363681793,0.05119575932621956,0.0949999988079071,14.0,8.191144943237305,6.840000152587891,0.6399999856948853,576.0665283203125,-0.07400000095367432,0.2142857164144516,34239.0,0.0,0.0
2 Denmark (DK),Petrol HDT,164484.359375,49345.30859375,0.45293936133384705,0.11323484033346176,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,10.51792049407959,18.40999984741211,0.09000000357627869,739.7039794921875,-0.07400000095367432,0.2142857164144516,55662.0,0.0,0.0
2 Denmark (DK),Petrol Bus,190000.0,57000.0,0.7287699580192566,0.18219248950481415,0.25,0.07500000298023224,0.0949999988079071,14.0,16.923114776611328,17.860000610351562,0.0,1190.2650146484375,-0.07400000095367432,0.2142857164144516,36865.0,0.0,0.0
2 Denmark (DK),Adv petrol TWV,10998.900390625,10998.900390625,0.025957955047488213,0.006489488761872053,9999.0,9999.0,0.0949999988079071,7.0,0.6027820110321045,9999.0,0.0,47.05633544921875,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
2 Denmark (DK),Adv petrol LCV,59517.3671875,14879.341796875,0.12930186092853546,0.032325465232133865,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,3.002580165863037,0.6000000238418579,0.0,163.3251953125,-0.07400000095367432,0.20000000298023224,29186.0,0.0,0.0
2 Denmark (DK),Adv petrol MDT,92847.09375,23211.7734375,0.26455503702163696,0.06613875925540924,0.17065252363681793,0.05119575932621956,0.0949999988079071,14.0,6.14335823059082,6.840000152587891,0.0,432.0498962402344,-0.07400000095367432,0.2142857164144516,34239.0,0.0,0.0
2 Denmark (DK),Adv petrol HDT,180932.796875,54279.83984375,0.3397045135498047,0.08492612838745117,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,7.8884406089782715,18.40999984741211,0.0,554.7780151367188,-0.07400000095367432,0.2142857164144516,55662.0,0.0,0.0
2 Denmark (DK),Adv petrol Bus,209000.0,62700.0,0.546577513217926,0.1366443783044815,0.25,0.07500000298023224,0.0949999988079071,14.0,12.692336082458496,17.860000610351562,0.0,892.6987915039062,-0.07400000095367432,0.2142857164144516,36865.0,0.0,0.0
2 Denmark (DK),Diesel TWV,9999.0,9999.0,0.022639231756329536,0.005659807939082384,9999.0,9999.0,0.0949999988079071,7.0,0.5534936785697937,9999.0,0.0,41.78538513183594,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
2 Denmark (DK),Diesel LCV,54106.69921875,13526.6748046875,0.1841534525156021,0.04603836312890053,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,4.502262592315674,0.6000000238418579,-0.23999999463558197,258.927001953125,-0.07400000095367432,0.20000000298023224,29186.0,0.0,0.0
2 Denmark (DK),Diesel MDT,84406.453125,21101.61328125,0.3677869141101837,0.09194672852754593,0.17065252363681793,0.05119575932621956,0.0949999988079071,14.0,8.991812705993652,6.840000152587891,0.47999998927116394,600.124267578125,-0.07400000095367432,0.2142857164144516,34239.0,0.0,0.0
2 Denmark (DK),Diesel HDT,164484.359375,49345.30859375,0.4700033366680145,0.11750083416700363,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,11.490843772888184,18.40999984741211,0.75,765.8624267578125,-0.07400000095367432,0.2142857164144516,55662.0,0.0,0.0
2 Denmark (DK),Diesel Bus,190000.0,57000.0,0.743386447429657,0.18584661185741425,0.25,0.07500000298023224,0.0949999988079071,14.0,18.174631118774414,17.860000610351562,0.05000000074505806,1260.1845703125,-0.07400000095367432,0.2142857164144516,36865.0,0.0,0.0
2 Denmark (DK),Adv diesel TWV,10998.900390625,10998.900390625,0.01697942428290844,0.00424485607072711,9999.0,9999.0,0.0949999988079071,7.0,0.4151202440261841,9999.0,0.0,31.339038848876953,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
2 Denmark (DK),Adv diesel LCV,59517.3671875,14879.341796875,0.13811509311199188,0.03452877327799797,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,3.376697063446045,0.6000000238418579,0.0,194.19525146484375,-0.07400000095367432,0.20000000298023224,29186.0,0.0,0.0
2 Denmark (DK),Adv diesel MDT,92847.09375,23211.7734375,0.2758401930332184,0.0689600482583046,0.17065252363681793,0.05119575932621956,0.0949999988079071,14.0,6.743859767913818,6.840000152587891,0.0,450.0931701660156,-0.07400000095367432,0.2142857164144516,34239.0,0.0,0.0
2 Denmark (DK),Adv diesel HDT,180932.796875,54279.83984375,0.3525025248527527,0.08812563121318817,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,8.618133544921875,18.40999984741211,0.0,574.3967895507812,-0.07400000095367432,0.2142857164144516,55662.0,0.0,0.0
2 Denmark (DK),Adv diesel Bus,209000.0,62700.0,0.5575398206710815,0.13938495516777039,0.25,0.07500000298023224,0.0949999988079071,14.0,13.630973815917969,17.860000610351562,0.0,945.138427734375,-0.07400000095367432,0.2142857164144516,36865.0,0.0,0.0
2 Denmark (DK),CNG/LPG TWV,9999.0,9999.0,0.028971809893846512,0.007242952473461628,9999.0,9999.0,0.0949999988079071,7.0,0.38204583525657654,9999.0,0.0,47.107852935791016,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
2 Denmark (DK),CNG/LPG LCV,54106.69921875,13526.6748046875,0.2654728591442108,0.0663682147860527,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,3.5007412433624268,0.6000000238418579,-0.28999999165534973,212.9429931640625,-0.07400000095367432,0.20000000298023224,29186.0,0.0,0.0
2 Denmark (DK),CNG/LPG MDT,84406.453125,21101.61328125,0.7422360777854919,0.18555901944637299,0.17065252363681793,0.05119575932621956,0.0949999988079071,14.0,9.787728309631348,6.840000152587891,-0.28999999165534973,608.174560546875,-0.07400000095367432,0.2142857164144516,34239.0,0.0,0.0
2 Denmark (DK),CNG/LPG HDT,164484.359375,49345.30859375,0.9084349274635315,0.22710873186588287,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,11.979361534118652,18.40999984741211,-0.1899999976158142,733.82421875,-0.07400000095367432,0.2142857164144516,55662.0,0.0,0.0
2 Denmark (DK),CNG/LPG Bus,190000.0,57000.0,1.5475711822509766,0.38689279556274414,0.25,0.07500000298023224,0.0949999988079071,14.0,20.40753173828125,17.860000610351562,0.029999999329447746,1265.2125244140625,-0.07400000095367432,0.2142857164144516,36865.0,0.0,0.0
2 Denmark (DK),PHEV TWV,9999.0,9999.0,0.027025451883673668,0.006756362970918417,9999.0,9999.0,0.0949999988079071,7.0,0.6607298851013184,9999.0,0.0,44.541053771972656,-0.0892999991774559,0.4285714328289032,9999.0,0.25,151.0
2 Denmark (DK),PHEV LCV,101720.59375,25430.1484375,0.10810180753469467,0.027025451883673668,0.08100000023841858,0.024299999698996544,0.0949999988079071,15.0,2.6429195404052734,0.6000000238418579,-0.4300000071525574,178.16421508789062,-0.0892999991774559,0.20000000298023224,29186.0,20.0,151.0
2 Denmark (DK),PHEV MDT,164484.359375,41121.08984375,0.2869958281517029,0.07174895703792572,0.11373227834701538,0.034119684249162674,0.0949999988079071,14.0,7.016597270965576,6.840000152587891,0.0,501.2718811035156,-0.0892999991774559,0.2142857164144516,34239.0,51.25,151.0
2 Denmark (DK),PHEV HDT,383075.4375,114922.625,0.43549758195877075,0.10887439548969269,0.14300000667572021,0.042899999767541885,0.0949999988079071,14.0,10.647232055664062,18.40999984741211,0.20999999344348907,763.7443237304688,-0.0892999991774559,0.2142857164144516,55662.0,150.0,151.0
2 Denmark (DK),PHEV Bus,380000.0,114000.0,0.506296694278717,0.12657417356967926,0.20000000298023224,0.05999999865889549,0.0949999988079071,14.0,12.37816047668457,17.860000610351562,0.0,866.0819091796875,-0.0892999991774559,0.2142857164144516,36865.0,125.0,151.0
2 Denmark (DK),BEV TWV,9999.0,9999.0,0.04163729399442673,0.0026614880189299583,9999.0,9999.0,0.0949999988079071,7.0,0.16222479939460754,9999.0,0.0,0.0,-0.15200309455394745,0.4285714328289032,9999.0,1.0,151.0
2 Denmark (DK),BEV LCV,101720.59375,25430.1484375,0.08327458798885345,0.01945667900145054,0.08100000023841858,0.024299999698996544,0.0949999988079071,15.0,1.185936450958252,0.6000000238418579,-0.4399999976158142,0.0,-0.15200309455394745,0.20000000298023224,29186.0,80.0,151.0
2 Denmark (DK),BEV MDT,164484.359375,41121.08984375,0.15277723968029022,0.03569561615586281,0.11373227834701538,0.034119684249162674,0.0949999988079071,14.0,2.1757431030273438,6.840000152587891,-0.12999999523162842,0.0,-0.15200309455394745,0.2142857164144516,34239.0,205.0,151.0
2 Denmark (DK),BEV HDT,383075.4375,114922.625,0.2783954441547394,0.06504566222429276,0.14300000667572021,0.042899999767541885,0.0949999988079071,14.0,3.9647066593170166,18.40999984741211,-0.10000000149011612,0.0,-0.15200309455394745,0.2142857164144516,55662.0,600.0,151.0
2 Denmark (DK),BEV Bus,380000.0,114000.0,0.22902528941631317,0.05351058021187782,0.20000000298023224,0.05999999865889549,0.0949999988079071,14.0,3.2616126537323,17.860000610351562,0.03999999910593033,0.0,-0.15200309455394745,0.2142857164144516,36865.0,500.0,151.0
2 Denmark (DK),Bioethanol TWV,9999.0,9999.0,0.10432490706443787,0.026081226766109467,9999.0,9999.0,0.0949999988079071,7.0,0.7764071822166443,9999.0,0.0,0.0,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
2 Denmark (DK),Bioethanol LCV,54106.69921875,13526.6748046875,0.41729962825775146,0.10432490706443787,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,3.105628728866577,0.6000000238418579,0.0,0.0,-0.07400000095367432,0.20000000298023224,29186.0,0.0,0.0
2 Denmark (DK),Bioethanol MDT,84406.453125,21101.61328125,1.1018320322036743,0.2754580080509186,0.17065252363681793,0.05119575932621956,0.0949999988079071,14.0,8.200057983398438,6.840000152587891,0.0,0.0,-0.07400000095367432,0.2142857164144516,34239.0,0.0,0.0
2 Denmark (DK),Bioethanol HDT,164484.359375,49345.30859375,1.5044978857040405,0.37612447142601013,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,11.19678020477295,18.40999984741211,0.0,0.0,-0.07400000095367432,0.2142857164144516,55662.0,0.0,0.0
2 Denmark (DK),Bioethanol Bus,190000.0,57000.0,2.1932787895202637,0.5483196973800659,0.25,0.07500000298023224,0.0949999988079071,14.0,16.322826385498047,17.860000610351562,0.0,0.0,-0.07400000095367432,0.2142857164144516,36865.0,0.0,0.0
2 Denmark (DK),FCEV TWV,9999.0,9999.0,0.03578633815050125,0.008946584537625313,9999.0,9999.0,0.0949999988079071,7.0,0.3542987108230591,9999.0,0.0,0.0,-0.28630000352859497,0.4285714328289032,9999.0,1.0,151.0
2 Denmark (DK),FCEV LCV,190455.578125,47613.89453125,0.143145352602005,0.03578633815050125,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,1.4171948432922363,0.6000000238418579,-0.46000000834465027,0.0,-0.28630000352859497,0.20000000298023224,29186.0,15.0,151.0
2 Denmark (DK),FCEV MDT,209933.984375,52483.49609375,0.34957462549209595,0.08739365637302399,0.17065252363681793,0.05119575932621956,0.0949999988079071,14.0,3.460925340652466,6.840000152587891,0.0,0.0,-0.28630000352859497,0.2142857164144516,34239.0,40.0,151.0
2 Denmark (DK),FCEV HDT,525917.125,157775.125,0.6338623762130737,0.15846559405326843,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,6.275484561920166,18.40999984741211,0.3199999928474426,0.0,-0.28630000352859497,0.2142857164144516,55662.0,75.0,151.0
2 Denmark (DK),FCEV Bus,800000.0,240000.0,0.6724624037742615,0.16811560094356537,0.25,0.07500000298023224,0.0949999988079071,14.0,6.657639980316162,17.860000610351562,0.0,0.0,-0.28630000352859497,0.2142857164144516,36865.0,75.0,151.0
3 Germany (DE),Petrol TWV,9999.0,9999.0,0.03890789672732353,0.009726974181830883,9999.0,9999.0,0.0949999988079071,7.0,0.8037093877792358,9999.0,0.0,62.74177932739258,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
3 Germany (DE),Petrol LCV,54106.69921875,13526.6748046875,0.14358831942081451,0.03589707985520363,0.11903473734855652,0.035710420459508896,0.0949999988079071,12.0,2.9660632610321045,0.6000000238418579,-0.17000000178813934,197.3699951171875,-0.07400000095367432,0.25,22720.0,0.0,0.0
3 Germany (DE),Petrol MDT,84406.453125,21101.61328125,0.4209103286266327,0.10522758215665817,0.17065252363681793,0.05119575932621956,0.0949999988079071,12.0,8.694624900817871,6.639999866485596,0.5199999809265137,594.7844848632812,-0.07400000095367432,0.25,29379.0,0.0,0.0
3 Germany (DE),Petrol HDT,164484.359375,49345.30859375,0.533919632434845,0.13347990810871124,0.20019479095935822,0.060058433562517166,0.0949999988079071,12.0,11.02902603149414,18.709999084472656,0.3499999940395355,751.1682739257812,-0.07400000095367432,0.25,53127.0,0.0,0.0
3 Germany (DE),Petrol Bus,190000.0,57000.0,0.8423924446105957,0.21059811115264893,0.25,0.07500000298023224,0.0949999988079071,15.0,17.40106201171875,19.93000030517578,0.0,1214.310546875,-0.07400000095367432,0.20000000298023224,41932.0,0.0,0.0
3 Germany (DE),Adv petrol TWV,10998.900390625,10998.900390625,0.029180921614170074,0.007295230403542519,9999.0,9999.0,0.0949999988079071,7.0,0.6027820110321045,9999.0,0.0,47.05633544921875,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
3 Germany (DE),Adv petrol LCV,59517.3671875,14879.341796875,0.10769124329090118,0.026922810822725296,0.11903473734855652,0.035710420459508896,0.0949999988079071,12.0,2.2245473861694336,0.6000000238418579,0.0,148.02749633789062,-0.07400000095367432,0.25,22720.0,0.0,0.0
3 Germany (DE),Adv petrol MDT,92847.09375,23211.7734375,0.3156827390193939,0.07892068475484848,0.17065252363681793,0.05119575932621956,0.0949999988079071,12.0,6.520968914031982,6.639999866485596,0.0,446.08837890625,-0.07400000095367432,0.25,29379.0,0.0,0.0
