,1 Price of Vehicles,2 Std of Price,3 Fuel Cost,4 Std Fuel Cost,5 O&M Costs,6 Std O&M Costs,7 Discount Rate,8 Service Lifetime,9 Energy Use,10 Loads,11 Cumulative Seats,12 Fuel Consumption,13 Gam,14 CO2 Emissions,15 Learning Exponent,16 Turnover Rate,17 Fuel price per litre,18 empty,19 gCO2/litre,20 kg/l
Petrol Small,41176.8936261993,21149.2115448351,0,0.028350000000000004,0.171,0.1,0.05,15,3.7620000000000005,3.6041666666666665,378000000,,0,253,,,0.68,,,
Petrol Large,120000,10000,0,0.0729,0.171,0.1,0.05,15,11.9016,9.8,378000000,,0,800.4,,,0.68,,,
Petrol adv small,29743.9630186508,15587.9227900628,0,0.028350000000000004,0.171,0.1,0.05,15,3.0096000000000003,3.6041666666666665,378000000,,0,202.4,,,0.68,,,
Petrol adv large,120000,10000,0,0.0729,0.171,0.1,0.05,15,9.52128,9.8,378000000,,0,640.32,,,0.68,,,
Diesel Small,31545,11574,0,0.07383999999999999,0.171,0.1,0.05,15,3.474,3.6041666666666665,378000000,,0,239.4,,,0.81,,,
Diesel Large,151000,33980,0,0.10081999999999999,0.171,0.1,0.05,15,11.194,9.8,378000000,,0,771.4,,,0.81,,,
Diesel adv small,31545,11574,0,0.07383999999999999,0.171,0.1,0.05,15,2.7792000000000003,3.6041666666666665,378000000,,0,191.52,,,0.81,,,
Diesel adv large,151000,33980,0,0.10081999999999999,0.171,0.1,0.05,15,8.955200000000001,9.8,378000000,,0,617.1200000000001,,,0.81,,,
CNG/LPG Small,30065.624646016407,5411.441131990628,0,0.016800000000000002,0.171,0.1,0.05,15,0.9234,3.6041666666666665,378000000,,0,170.829,,,0.57,,,
CNG/LPG Large,116400,15000,0,0.0432,0.171,0.1,0.05,15,2.97,9.8,378000000,,0,549.45,,,0.57,,,
Hybrid Small,60000,1000,0,0.02982,0.171,0.1,0.05,15,2.4624000000000006,3.6041666666666665,300000,,0,191.52,,,0.81,,,
Hybrid Large,170000,1000,0,0.07668,0.171,0.1,0.05,15,7.934400000000002,9.8,300000,,0,617.1200000000001,,,0.81,,,
Electricity Small,50000,28000,0,0.0030513000000000003,0.34,0.1,0.05,15,0.02109375,3.6041666666666665,20000,,0,0,,,0.43,,,
Electricity Large,186000,12330,0,0.007846200000000001,0.171,0.1,0.05,15,0.031359374999999995,9.8,20000,,0,0,,,0.43,,,
Bioethano Small,30000,22000,0,0.015960000000000002,0.171,0.1,0.05,15,2.8215,3.6041666666666665,378000000,,0,177.1,,,0.43,,,
Bioethano Large,60000,30000,0,0.04104,0.171,0.1,0.05,15,8.9262,9.8,378000000,,0,560.28,,,0.43,,,
Biodiesel Small,30165.624646016407,5411.441131990628,0,0.01218,0.171,0.1,0.05,15,2.97,3.6041666666666665,378000000,,0,235.8,,,0.766,,,
Biodiesel Large,119000,22500,0,0.03132,0.171,0.1,0.05,15,9.57,9.8,378000000,,0,759.8,,,0.766,,,
Hydrogen Large,82996.87393804922,1000,0,0.0030513000000000003,0.171,0.1,0.05,15,0,3.6041666666666665,100,,0,0,,,0,,,
Hydrogen Small,228000,1000,0,0.0030513000000000003,0.171,0.1,0.05,15,0,9.8,100,,0,0,,,0,,,
