,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.4540501271340357,0.022702506356701783,45727.75154377043,2286.387577188521,25.0,1,-0.05,0.05,0.4675565442615467,339.8370464672184,67.96740929344365,0,0.95,0.1,-0.05
Indirect Heating Oil,0.049945513984743915,0.002497275699237196,9594.98728659644,479.7493643298222,25.0,1,-0.05,0.05,0.5119215890790811,321.46021642266066,64.29204328453214,0,0.95,0.1,-0.05
Indirect Heating Gas,0.049945513984743915,0.002497275699237196,10572.648020341449,528.6324010170723,25.0,1,-0.05,0.05,0.5908182460128731,377.7070110030008,75.54140220060016,0,0.95,0.1,-0.05
Indirect Heating Biomass,0.561205957137668,0.0280602978568834,45727.75154377043,2286.387577188521,25.0,1,-0.05,0.05,0.496740072886566,218.26207147403838,43.652414294807684,0,0.9,0.1,-0.05
Indirect Heating Electric,0.0726480203414457,0.0036324010170722854,8136.033418089359,406.801670904468,25.0,1,-0.05,0.05,0.9,2780.826952805311,556.1653905610623,0,0.98,0.1,-0.05
Indirect Heating Steam Distributed,0.9081002542680712,0.04540501271340357,0.0,0.0,20.0,1,-0.05,0.05,0.6255185650793358,0.0,0.0,0,1.0,0.1,-0.05
Heat Pumps (Electricity),0.9925535779150021,0.049627678895750094,27892.02374863785,1394.6011874318924,20.0,1,-0.432959407,0.05,3.0,2780.826952805311,556.1653905610623,0,0.95,0.1,-0.432959407
Direct Heating Coal,0.19978205593897566,0.009989102796948784,5714.475118053034,285.72375590265165,15.0,1,-0.05,0.05,0.2457392545951674,339.8370464672184,67.96740929344365,0,0.9,0.1,-0.05
Direct Heating Oil,0.013621503814021071,0.0006810751907010534,2394.023049219033,119.70115246095169,15.0,1,-0.05,0.05,0.3720896504665349,321.46021642266066,64.29204328453214,0,0.9,0.1,-0.05
Direct Heating Gas,0.013621503814021071,0.0006810751907010534,2394.023049219033,119.70115246095169,15.0,1,-0.05,0.05,0.4029182942073841,377.7070110030008,75.54140220060016,0,0.95,0.1,-0.05
Direct Heating Biomass,0.19978205593897566,0.009989102796948784,5714.475118053034,285.72375590265165,15.0,1,-0.05,0.05,0.11289263143445169,218.26207147403838,43.652414294807684,0,0.9,0.1,-0.05
Direct Heating Electric,0.05448601525608427,0.0027243007628042137,1432.873229204504,71.6436614602252,12.5,1,-0.05,0.05,0.5012023521589068,2780.826952805311,556.1653905610623,0,0.98,0.1,-0.05
Direct Heating Steam Distributed,0.9081002542680712,0.04540501271340357,0.0,0.0,20.0,1,-0.05,0.05,0.0712540523955947,0.0,0.0,0,1.0,0.1,-0.05
