,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate
1 Petrol Econ,17938.84,2283.82295486209,0.043308221892278155,0.03203659555915143,0.038,0.02,0.15,11,2.3142831073686136,18550,0.375,6.95625,0.23,156.99230435950827,4,-0.01449956969511509,4
2 Petrol  Mid,20749.23,4391.19518627269,0.044503405330874914,0.02583080898934627,0.051,0.03,0.15,11,2.3781507223686282,18550,0.375,6.95625,0.1,161.32484432442155,4,-0.01449956969511509,4
3 Petrol Lux,29743.96,15587.9227900628,0.05627607889821519,0.03325661780855908,0.064,0.03,0.15,11,3.0072529661233744,18550,0.375,6.95625,-0.15,204.00078600603007,4,-0.01449956969511509,4
4 Adv Petrol Econ,17938.84,2283.82295486209,0.041245925611693476,0.03363842533710901,0.038,0.02,0.15,11,2.20407914987487,18550,0.375,6.95625,0,149.51648034238883,4,-0.01449956969511509,4
5 Adv Petrol Mid,20749.23,4391.19518627269,0.042384195553214196,0.027122349438813587,0.051,0.03,0.15,11,2.2649054498748837,18550,0.375,6.95625,0,153.64270888040147,4,-0.01449956969511509,4
6 Adv Petrol Lux,29743.96,15587.9227900628,0.0535962656173478,0.034919448698987034,0.064,0.03,0.15,11,2.8640504439270233,18550,0.375,6.95625,0,194.28646286288577,4,-0.01449956969511509,4
7 Diesel Econ,21526.61,2283.82295486209,0.03111014399999999,0.002,0.038,0.02,0.15,11,1.8763305599999995,18550,0.375,6.95625,0.05,128.81543999999997,4,-0.01449956969511509,4
8 Diesel Mid,24899.07,4391.19518627269,0.0323522442814616,0.00861709449529718,0.051,0.03,0.15,11,1.9512447332256528,18550,0.375,6.95625,-0.07,133.95851147792695,4,-0.01449956969511509,4
9 Diesel Lux,35692.76,15587.9227900628,0.047704559947649584,0.00722639156261476,0.064,0.04,0.15,11,2.8771812718426157,18550,0.375,6.95625,-0.3,197.52669353323657,4,-0.01449956969511509,4
10 Adv Diesel Econ,17938.84,2283.82295486209,0.029628708571428564,0.0021000000000000003,0.038,0,0.15,11,1.7869814857142854,18550,0.375,6.95625,0,122.6813714285714,4,-0.01449956969511509,4
11 Adv Diesel Mid,20749.23,4391.19518627269,0.030811661220439622,0.009047949220062041,0.051,0,0.15,11,1.8583283173577647,18550,0.375,6.95625,0,127.57953474088282,4,-0.01449956969511509,4
12 Adv Diesel Lux,29743.96,15587.9227900628,0.04543291423585675,0.007587711140745497,0.064,0,0.15,11,2.7401726398501105,18550,0.375,6.95625,0,188.12066050784435,4,-0.01449956969511509,4
13 LPG Econ,17938.84,2283.82295486209,0.04229673169590643,0.002,0.039,0.02,0.15,11,1.4204126315789471,18550,0.375,6.95625,0,122.67199999999998,4,-0.01449956969511509,4
14 LPG Mid,20749.23,4391.19518627269,0.04531792681704261,0.002,0.056,0.03,0.15,11,1.5218706766917292,18550,0.375,6.95625,0,131.43428571428572,4,-0.01449956969511509,4
15 LPG Lux,29743.96,15587.9227900628,0.05767736140350877,0,0.066,0.04,0.15,11,1.9369263157894734,18550,0.375,6.95625,0,167.27999999999997,4,-0.01449956969511509,4
16 Hybrid Econ,20000,1000,0.02508182068965517,0.013,0.039,0.03,0.15,11,1.3403097931034482,18550,0.375,6.95625,0,90.9216,4,-0.01449956969511509,4
17 Hybrid Mid,27603.52,4724.2,0.02445477517241379,0.013,0.056,0.04,0.15,11,1.306802048275862,18550,0.375,6.95625,0,88.64855999999999,4,-0.0144995696951151,4
18 Hybrid Lux,35734.97,7003.9,0.05016364137931034,0.013,0.066,0.04,0.15,11,2.6806195862068964,18550,0.375,6.95625,-0.5,181.8432,4,-0.0144995696951151,4
19 Electric Econ,20069.761124739933,5496.2,0.007700000000000001,0.00056,0.019,0.04,0.15,11,0.396,18550,0.375,6.95625,-0.2,22.437167942583734,4,-0.23,4
20 Electric Mid,21631.231744668843,8877.3,0.010150000000000001,0.0008,0.0255,0.05,0.15,11,0.522,18550,0.375,6.95625,-0.4,31.412035119617226,4,-0.23,4
21 Electric Lux,39173.25135635507,18687,0.01225,0.01238,0.032,0.06,0.15,11,0.63,18550,0.375,6.95625,-0.6,38.89109110047848,4,-0.23,4
22 motorcycles Econ,15000,1000,0.009931034482758621,0.03203659555915143,0.046,0.04,0.15,12,0.5306896551724138,18550,0.375,6.95625,-0.1,36,4,-0.23,4
23 motorcycles Lux,26500,10000,0.013793103448275864,0.02583080898934627,0.065,0.05,0.15,12,0.7370689655172414,18550,0.375,6.95625,-0.3,50,4,-0.23,4
24 Adv motorcycles Econ,135925,1000,0.02393655172413793,0.03325661780855908,0.08,0.06,0.15,12,1.2791094827586207,18550,0.375,6.95625,-0.5,86.77,4,-0.23,4
25 Adv motorcycles Lux,15000,1000,0,0,0.046,0.04,0.15,12,0,18550,0.375,6.95625,0,0,4,-0.23,4
