,BE,DK,DE,EL,ES,FR,IE,IT,LX,NL,AT,PT,FI,SW,UK,CZ,EN,CY,LV,LT,HU,MT,PL,SI,SK,BG,RO,NO,CH,IS,HR,TR,MK,US,JA,CA,AU,NZ,RS,RA,CN,IN,MX,BR,AR,CO,LA,KR,TW,ID,AS,OP,RW,UE,SD,NG,SA,ON,OC,MY,KZ,AN,AC,AW,AE,ZA,EG,DC,KE,UA,PK
1,441,152.869,3528.179,166.778,1091.19,1713.03,125.818,2389.892,34.673404561408,478.318,275.001,287.73,104.963,258.944,2250.87,144.849,9.448,20.29,71.513,173.057,70.827,9.226,722.245,64.357,85.551,28.166,125.142,154.654,270.625,11.734,109.144,299.108,8.911,8218.25,6725.026,1500,900,71.492,2600,0,586.4382470404616,1229.4144726326522,710,3000,294.2416386522488,100,100,300,857.9230984419517,500,0,0,212.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,463.724,162.708,3735.987,183.657,1282.97,1943.553,138.538,2437.718,36.353,543.11,295.865,323.981,126.386,286.671,2362.589,144.849,8.4,24.856,57.363,147.105,101.328,10.75,557.783,67.133,76.007,70.797,105.986,141.09,295.165,15.064,85.893,271.843,8.676,8085.08333333333,5879.425,1500,900,65.982,2600,0,762.3697211526002,1254.0027620853052,710,3000,306.01130419833885,100,100,300,883.6607913952101,500,0,0,200.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,504.203,144.259,3802.176,268.716,1502.531,2148.423,170.322,2312.309,40.989,611.776,314.182,351.575,137.017,327.71,2414.66,144.849,6.864,20.133,45.861,142.069,126.085,13.341,599.25,77.217,58.152,103.459,90.047,123.843,314.691,17.007,89.846,320,9.84,8637.91666666667,5861.216,1500,900,72.241,2600,0,991.0806374983803,1279.0828173270113,710,3000,318.2517563662724,100,100,300,910.1706151370665,500,0,0,186.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,531.64,113.631,3378.343,302.62,1467.16,2133.884,225.269,2359.674,42.304,597.623,309.427,340.397,135.243,342.965,2432.149,144.849,10.24,19.056,35.745,115.808,130.323,13.055,519.407,55.12,54.352,98.185,99.05170000000001,126.978,314.482,14.769,92.759,354.013,13.763,8777.66666666667,5963.042,1545.378,900,73.963,2600,0,1288.4048287478943,1304.6644736735516,710,3000,330.9818266209233,100,100,300,937.4757335911786,500,0,0,198.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,499.779,96.114,3341.718,289.943,1498.899,2254.732,160.908,2379.98,43.164,530.287,293.528,302.763,109.911,280.28,2663.288,144.849,12.822,24.533,37.85,71.328,137.771,10.295,450.095,52.316,66.759,117.333,108.95687000000002,130.78734,314.58,7.669,108.484,117.196,4.755,8351.91666666667,5906.471,1570.633,900,74.729,2600,0,1674.9262773722626,1330.7577631470226,710,3000,344.22109968576024,100,100,300,965.6000055989139,500,0,0,195.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,472.83,111.598,3252.898,277.567,1408.426,2145.071,150.485,2224.764,43.677,510.744,279.493,267.374,117.486,281.446,2756.342,144.849,14.701,28.101,40.335,93.305,160.238,10.267,421.167,50.859,67.298,121.512,119.85255700000003,134.7109602,293.034,7.375,94.989,170.191,32.641,8042.41666666667,5792.093,1703.511,900,83.743,2600,0,2294.649,1357.3729184099632,710,3000,357.9899436731907,100,100,300,994.5680057668812,500,0,0,259.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,463.173,117.17790000000001,3236.938,272.515,1487.2978560000001,2009.246,142.992,2516.972,43.765,488.977,300.121,252.93580399999996,148.02,293.035,2720.096,144.849,15.824,29.961,50.29,118.263,190.107,10.07,274.392,59.881,71.954,143.48,131.83781270000003,138.752289006,269.711,10.833,104.399,176.217,17,7555.5,5828.178,1593.469,900,91.964,2600,0,3160.859,1384.5203767781622,710,3000,372.3095414201183,100,100,300,1024.4050459398877,500,0,0,276.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,489.346,123.03679500000001,3266.826,317.508,1570.5865359360002,2013.709,149.635,2743.769,48.273,483.885,311.292,239.27727058399995,143.16,297.405,2668.449,123.579,16.514,43.842,57.474,134.612,188.488,10.06,833.021,62.697,71.954,150.803,149.29,145.538,267.476,13.927,99.863,432.728,16,7482.41666666667,5853.382,1534.5,900,98.792,2600,0,3332.297,1412.2107843137255,710,3000,387.20192307692304,100,100,300,1055.1371973180844,500,0,0,271.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,484.915,129.18863475,3342.122,302.613,1658.5393819484163,2003.7,166.27,2441.978,48.517,465.196,310,226.35629797246395,145,297.05,2516.3474069999997,125.166,20,38.676,69.704,173.644,170,10.058,979.082,60.531,91.165718,168.102,179.531,143,260.682,22.141,101.916,406.807,15.894,7660.583333333339,5852.067,1583.599,998.269,103.448,2600,0,4157.504,1440.455,714.01,3000,402.69,150,100,446.477,1145.23,522.917,0,0,238.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,530.941,131.605,3467.961,304.7,1660.627,2000.549,173.273,2541.57,50.837,483.999,308.594,214.13305788195086,146.201,300.502,2372.9156048009995,120.37,25.372,37.192,97.399,185.271,151.67,9.966,923.783,59.885,115.50696470599999,182.095,312.515,142.572,269.7,22.141,114.68,396.542,12.45,7761.41666666667,5739.506,1614.701,942.52,99.986,2600,0,4678.667,1468.481,680.95,3000,420.304,176.273,100,356.771,1182.68,312.578,0,0,219.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,529.606,252.183,3148.163,317.879,1633.806,2064.543,193.915,2514.905,51.332,505.779,298.182,202.56987275632554,126.022,321.705,2237.6594153273427,129.443,30.916,50.908,107.003,220.236,136.032,9.574,1128.684,67.791,146.292,348.887,436.349,162.97,284,22.141,108.015,353.495,16.914,7562.25,5353.648,1653.394,1025.336,102.468,2600,0,5000.042,1674.01,641.39,3000,534.199,225.613,100,319.134,1252.586,423.312,0,0,240.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
