,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate
1 Petrol Econ,14583.59,23503,0.06320658539580518,0.05154843634768464,0.038,0.02,0.15,14,1.879708887423076,6980,0.375,2.6175,1.3,127.51241575501567,4,-0.01449956969511509,4
2 Petrol  Mid,19130.26,4864.4,0.08213172427434731,0.03269533878301043,0.051,0.03,0.15,14,2.442526061028416,6980,0.375,2.6175,0.4,165.69182636216152,4,-0.01449956969511509,4
3 Petrol Lux,36023.62,14482,0.11105307877221852,0.02564436306309076,0.064,0.03,0.15,14,3.3026219947911946,6980,0.375,2.6175,-0.4,224.0375154361278,4,-0.01449956969511509,4
4 Adv Petrol Econ,14583.59,23503,0.03602775367560894,0.05,0.038,0.02,0.15,14,1.071434065831153,6980,0.375,2.6175,0,72.68207698035891,4,-0.01449956969511509,4
5 Adv Petrol Mid,19130.26,4864.4,0.04681508283637796,0.03,0.051,0.03,0.15,14,1.392239854786197,6980,0.375,2.6175,0,94.44434102643207,4,-0.01449956969511509,4
6 Adv Petrol Lux,36023.62,14482,0.06330025490016457,0.025,0.064,0.03,0.15,14,1.8824945370309816,6980,0.375,2.6175,0,127.70138379859287,4,-0.01449956969511509,4
7 Diesel Econ,15523.41,2872.35341254385,0.05480603773584904,0.01,0.038,0.02,0.15,14,2.15868679245283,6980,0.375,2.6175,0,148.2,4,-0.01449956969511509,4
8 Diesel Mid,25584.64,3746.18407830755,0.06111340429722754,0.0654858769921206,0.051,0.03,0.15,14,2.4071198019112074,6980,0.375,2.6175,0.1,165.25563406903365,4,-0.01449956969511509,4
9 Diesel Lux,33589.37,15787.1067762675,0.07273230809239911,0.0332767300002358,0.064,0.04,0.15,14,2.8647623391495975,6980,0.375,2.6175,-0.15,196.67409841312005,4,-0.01449956969511509,4
10 Adv Diesel Econ,18628.09,2872.35341254385,0.034466970497014054,0.01,0.038,0,0.15,14,1.3575765930456556,6980,0.375,2.6175,0,93.20150185417066,4,-0.01449956969511509,4
11 Adv Diesel Mid,30701.57,3746.18407830755,0.038433610417832206,0.065,0.051,0,0.15,14,1.5138136348248197,6980,0.375,2.6175,0,103.92762000740342,4,-0.01449956969511509,4
12 Adv Diesel Lux,40307.25,15787.1067762675,0.04574062312774528,0.033,0.064,0,0.15,14,1.8016204619703755,6980,0.375,2.6175,0,123.68637886584183,4,-0.01449956969511509,4
13 LPG Econ,15523.41,2872.35341254385,0.025521235087719304,0.01,0.039,0.02,0.15,14,1.104284210526316,6980,0.375,2.6175,0,95.37,4,-0.01449956969511509,4
14 LPG Mid,25584.64,3746.18407830755,0.033027480701754396,0.01,0.056,0.03,0.15,14,1.4290736842105265,6980,0.375,2.6175,0,123.42000000000002,4,-0.01449956969511509,4
15 LPG Lux,33589.37,15787.1067762675,0.04503747368421053,0.01,0.066,0.04,0.15,14,1.948736842105263,6980,0.375,2.6175,0,168.3,4,-0.01449956969511509,4
16 Hybrid Econ,20450.7,3721.96663223839,0.03285714285714286,0.01,0.039,0.03,0.15,14,0.9771428571428574,6980,0.375,2.6175,0.3,66.28571428571429,4,-0.01449956969511509,4
17 Hybrid Mid,31724.98,3584.55212751559,0.05938375494921827,0.08321791405596402,0.056,0.04,0.15,14,1.7660212341419697,6980,0.375,2.6175,-0.6,119.80027085407512,4,-0.0144995696951151,4
18 Hybrid Lux,35781.1,10124,0.08894217603059228,0.031401393912240685,0.066,0.04,0.15,14,2.6450629741271796,6980,0.375,2.6175,-0.4,179.43117251389052,4,-0.0144995696951151,4
19 Electric Econ,17958.732166890983,18579,0.017499999999999998,0,0.046,0.04,0.15,14,0.63,6980,0.375,2.6175,-0.2,0,4,-0.23,4
20 Electric Mid,36228.87047605544,4995.9,0.018611111111111113,0,0.065,0.05,0.15,14,0.67,6980,0.375,2.6175,-0.8,0,4,-0.23,4
21 Electric Lux,42286.10688652719,4713.1,0.024166666666666666,0,0.08,0.06,0.15,14,0.86,6980,0.375,2.6175,-1,0,4,-0.23,4
22 motorcycles Econ,36620,1000,0.01982758620689655,0.05154843634768464,0.046,0.04,0.15,12,0.5896551724137932,6980,0.375,2.6175,-0.6,40,4,-0.23,4
23 motorcycles Lux,38100.44,6480.6,0.02956519535734787,0.03269533878301043,0.065,0.05,0.15,12,0.8792432010619976,6980,0.375,2.6175,-0.8,59.644568025258316,4,-0.23,4
24 Adv motorcycles Econ,74410.45,33781,0.04585389642547946,0.02564436306309076,0.08,0.06,0.15,12,1.3636550067403461,6980,0.375,2.6175,-1.3,92.50525191922814,4,-0.23,4
25 Adv motorcycles Lux,10000,1000,0,0,0.046,0.04,0.15,12,0,6980,0.375,2.6175,0,0,4,-0.23,4
