,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.4339524388127062,0.0216976219406353,43703.697274778686,2185.184863738935,25.0,1,-0.05,0.05,0.5446464160611352,67.99655157456405,13.599310314912811,0,0.9703846153846154,0.013387267641727442,-0.05
Indirect Heating Oil,0.0477347682693976,0.0023867384134698,9170.282936990106,458.5141468495053,25.0,1,-0.05,0.05,0.5675105099121311,111.77966947167522,22.355933894335045,0,0.9768538461538462,0.012945317400649168,-0.05
Indirect Heating Gas,0.0477347682693976,0.0023867384134698,10104.669328241624,505.2334664120812,25.0,1,-0.05,0.05,0.6186613212938968,186.2182340013303,37.24364680026604,0,0.9813999999999999,0.01250933852351345,-0.05
Indirect Heating Biomass,0.5363652143725048,0.0268182607186252,43703.697274778686,2185.184863738935,25.0,1,-0.05,0.05,0.1881270083010937,79.57343628003818,15.914687256007635,0,0.9116666666666666,0.00867163414004405,-0.05
Indirect Heating Electric,0.0694323902100329,0.0034716195105016,7775.906960597122,388.795348029856,25.0,1,-0.05,0.05,0.9,435.6087446863883,87.12174893727767,0,0.9878205128205128,0.0028867513459481316,-0.05
Indirect Heating Steam Distributed,0.8679048776254124,0.0433952438812706,0.0,0.0,20.0,1,-0.05,0.05,0.7195951949914385,0.0,0.0,0,1.0,0.0,-0.05
Heat Pumps (Electricity),0.9486200312445756,0.0474310015622287,26657.434952265237,1332.8717476132615,20.0,1,-0.432959407,0.05,3.0,435.6087446863883,87.12174893727767,0,0.9838461538461538,0.0113249475879504,-0.432959407
Direct Heating Coal,0.1909390730775907,0.0095469536538795,5461.534455823643,273.07672279118214,15.0,1,-0.05,0.05,0.2688881401792873,67.99655157456405,13.599310314912811,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Oil,0.0130185731643811,0.000650928658219,2288.056050859226,114.40280254296133,15.0,1,-0.05,0.05,0.3941295398255369,111.77966947167522,22.355933894335045,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Gas,0.0130185731643811,0.000650928658219,2288.056050859226,114.40280254296133,15.0,1,-0.05,0.05,0.4235623316160015,186.2182340013303,37.24364680026604,0,0.9878846153846155,0.012115384615384639,-0.05
Direct Heating Biomass,0.1909390730775907,0.0095469536538795,5461.534455823643,273.07672279118214,15.0,1,-0.05,0.05,0.1128926314344516,79.57343628003818,15.914687256007635,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Electric,0.0520742926575247,0.0026037146328762,1369.4497483075854,68.47248741537929,12.5,1,-0.05,0.05,0.5141695640373097,435.6087446863883,87.12174893727767,0,0.9902564102564102,0.016876392484004476,-0.05
Direct Heating Steam Distributed,0.8679048776254124,0.0433952438812706,0.0,0.0,20.0,1,-0.05,0.05,0.0712540523955947,0.0,0.0,0,1.0,0.0,-0.05
