,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate
1 Petrol Econ,7889.251163908435,2236.9,0.06557818375862068,0.0151,0.038,0.02,0.15,15,1.5620761245674741,40000,0.375,15,0.15,108.25187543252595,4,-0.01449956969511509,4
2 Petrol  Mid,13200,2895.5,0.071,0.014199999999999999,0.051,0.03,0.15,15,1.680415224913495,40000,0.375,15,-0.1,116.4527750865052,4,-0.01449956969511509,4
3 Petrol Lux,20915.791726278036,10782,0.084,0.014199999999999999,0.064,0.03,0.15,15,1.9880968858131491,40000,0.375,15,-0.35,137.77511418685123,4,-0.01449956969511509,4
4 Adv Petrol Econ,7889.251163908435,2236.9,0.052462547006896544,0.0151,0.038,0.02,0.15,15,1.2496608996539793,40000,0.375,15,0,86.60150034602077,4,-0.01449956969511509,4
5 Adv Petrol Mid,13241.380081990495,2895.5,0.056799999999999996,0.014199999999999999,0.051,0.03,0.15,15,1.3443321799307961,40000,0.375,15,0,93.16222006920417,4,-0.01449956969511509,4
6 Adv Petrol Lux,20915.791726278036,10782,0.06720000000000001,0.014199999999999999,0.064,0.03,0.15,15,1.5904775086505194,40000,0.375,15,0,110.22009134948098,4,-0.01449956969511509,4
7 Diesel Econ,8553.848736077289,1280.3,0.05499999999999999,0.0143,0.038,0.02,0.15,15,1.408988764044944,40000,0.375,15,0.2,97.64292134831462,4,-0.01449956969511509,4
8 Diesel Mid,12056.262528936302,2087.3,0.0632104452830189,0.0168,0.051,0.03,0.15,15,1.6139325842696632,40000,0.375,15,0,111.84552808988765,4,-0.01449956969511509,4
9 Diesel Lux,25828.060291808426,12615,0.07672621584905659,0.14,0.064,0.04,0.15,15,1.9725842696629217,40000,0.375,15,-0.4,136.70008988764047,4,-0.01449956969511509,4
10 Adv Diesel Econ,8553.848736077289,1280.3,0.044,0.0143,0.038,0,0.15,15,1.1271910112359553,40000,0.375,15,0,78.1143370786517,4,-0.01449956969511509,4
11 Adv Diesel Mid,12056.262528936302,2087.3,0.050568356226415125,0.0168,0.051,0,0.15,15,1.2911460674157307,40000,0.375,15,0,89.47642247191013,4,-0.01449956969511509,4
12 Adv Diesel Lux,25828.060291808426,12615,0.06138097267924528,0.14,0.064,0,0.15,15,1.5780674157303374,40000,0.375,15,0,109.36007191011238,4,-0.01449956969511509,4
13 LPG Econ,6576.334430622378,1490.9,0.033,0.00667,0.039,0.02,0.15,15,0.9694316210526317,40000,0.375,15,0.6,83.72364000000002,4,-0.01449956969511509,4
14 LPG Mid,10639,1000,0.039,0.0001,0.056,0.03,0.15,15,1.7767283368421054,40000,0.375,15,0.3,153.44472,4,-0.01449956969511509,4
15 LPG Lux,20000,1000,0.05,0,0.066,0.04,0.15,15,2.241411132631579,40000,0.375,15,0,193.576416,4,-0.01449956969511509,4
16 Hybrid Econ,10676.16,1000,0.06,0,0.039,0.03,0.15,15,1.3267241379310346,40000,0.375,15,0,90,4,-0.01449956969511509,4
17 Hybrid Mid,14238,1000,0.07,0.012,0.056,0.04,0.15,15,1.4701770523702347,40000,0.375,15,-0.4,99.7313088157586,4,-0.0144995696951151,4
18 Hybrid Lux,55099,16795,0.074,0.01,0.066,0.04,0.15,15,1.8019116486036144,40000,0.375,15,0,122.23494224445568,4,-0.0144995696951151,4
19 Electric Econ,18650,106,0.01617,0,0.0133,0.04,0.15,15,0.63,40000,0.375,15,-0.5,44.5740070754717,4,-0.23,4
20 Electric Mid,20000,100,0.017325,0.0001,0.017849999999999998,0.05,0.15,15,0.67,40000,0.375,15,-0.5,62.40347169811321,4,-0.23,4
21 Electric Lux,51431.55195484292,100,0.023099999999999996,0,0.0224,0.06,0.15,15,0.86,40000,0.375,15,-0.9,77.26147405660377,4,-0.23,4
22 motorcycles Econ,15347,100,0.01435344827586207,0.0151,0.046,0.04,0.15,12,0.44224137931034485,40000,0.375,15,-0.1,30,4,-0.23,4
23 motorcycles Lux,28084,100,0.01878706873555391,0.0253,0.065,0.05,0.15,12,0.5788448205008502,40000,0.375,15,-0.6,39.266666186022576,4,-0.23,4
24 Adv motorcycles Econ,51431.55195484292,100,0.020959585321835682,0.0456,0.08,0.06,0.15,12,0.6457818180241264,40000,0.375,15,-0.9,43.80742157356646,4,-0.23,4
25 Adv motorcycles Lux,10000,1000,0,0,0.046,0.04,0.15,12,0,40000,0.375,15,0,0,4,-0.23,4
