,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate
1 Petrol Econ,13787.65,3088.46618950268,0.07108364137931035,0.03614,0.038,0.02,0.15,15,2.0250879375758783,14577,0.375,5.466375,0.2,147.93729762646632,4,-0.01449956969511509,4
2 Petrol  Mid,15816.59,3317.42791083568,0.07520486815415824,0.03604150175371148,0.051,0.03,0.15,15,2.0615529073942778,14577,0.375,5.466375,0.1,165.17968186761144,4,-0.01449956969511509,4
3 Petrol Lux,35516.84,17513.5711022516,0.08523218390804599,0.06791081121001138,0.064,0.03,0.15,15,2.8346138016636444,14577,0.375,5.466375,-0.65,167.62000187741964,4,-0.01449956969511509,4
4 Adv Petrol Econ,13787.65,3088.46618950268,0.06238995862068966,0.026,0.038,0.02,0.15,15,1.8225791438182901,14577,0.375,5.466375,0,142.065,4,-0.01449956969511509,4
5 Adv Petrol Mid,15816.59,3317.42791083568,0.07057224827586209,0.026,0.051,0.03,0.15,15,1.8553976166548494,14577,0.375,5.466375,0,162.35999999999996,4,-0.01449956969511509,4
6 Adv Petrol Lux,35516.84,17513.5711022516,0.0869368275862069,0.052,0.064,0.03,0.15,15,2.5511524214972803,14577,0.375,5.466375,0,162.35999999999996,4,-0.01449956969511509,4
7 Diesel Econ,13463,1000,0.05688054339622642,0.06,0.038,0.02,0.15,15,2.31842961509434,14577,0.375,5.466375,0.1,110.53249999999998,4,-0.01449956969511509,4
8 Diesel Mid,22950,1000,0.06434028679245284,0,0.051,0.03,0.15,15,2.7048345509433958,14577,0.375,5.466375,0,113.80426200000001,4,-0.01449956969511509,4
9 Diesel Lux,23076.94,14076.4986206936,0.07925977358490567,0.1002,0.064,0.04,0.15,15,2.7301054337479242,14577,0.375,5.466375,-0.1,242.08777470872684,4,-0.01449956969511509,4
10 Adv Diesel Econ,13463,1000,0.04550443471698114,0.06,0.038,0,0.15,15,2.0865866535849054,14577,0.375,5.466375,0,110.53249999999998,4,-0.01449956969511509,4
11 Adv Diesel Mid,22950,1000,0.05147222943396227,0.06,0.051,0,0.15,15,2.4343510958490566,14577,0.375,5.466375,0,115.33826086956522,4,-0.01449956969511509,4
12 Adv Diesel Lux,23076.94,14076.4986206936,0.06340781886792454,0.06,0.064,0,0.15,15,2.457094890373133,14577,0.375,5.466375,0,241.16181818181818,4,-0.01449956969511509,4
13 LPG Econ,14136.15,1050,0.017112053894736842,0,0.039,0.02,0.15,15,0,14577,0.375,5.466375,0,125.52374999999998,4,-0.01449956969511509,4
14 LPG Mid,24097.5,1050,0.019356257684210534,0,0.056,0.03,0.15,15,0,14577,0.375,5.466375,0,131.43428571428572,4,-0.01449956969511509,4
15 LPG Lux,24230.78,14780.32355172828,0.023844665263157903,0,0.066,0.04,0.15,15,0,14577,0.375,5.466375,0,131.43428571428572,4,-0.01449956969511509,4
16 Hybrid Econ,20265.57,719.7491,0.04774454634119664,0.026,0.039,0.03,0.15,15,1.3168253910233267,14577,0.375,5.466375,0,89.32850605772275,4,-0.01449956969511509,4
17 Hybrid Mid,25620.44,4419.4,0.050700883678732836,0.026,0.056,0.04,0.15,15,1.3983630821069863,14577,0.375,5.466375,0,94.85971785053239,4,-0.0144995696951151,4
18 Hybrid Lux,37338.88,13422.7486389078,0.09493209365276878,0.026,0.066,0.04,0.15,15,2.618288389455397,14577,0.375,5.466375,0,177.61488489872866,4,-0.0144995696951151,4
19 Electric Econ,30909.71620398252,12517,0.017499999999999998,0,0.046,0.04,0.15,15,0.63,14577,0.375,5.466375,-0.6,38.7018,4,-0.23,4
20 Electric Mid,57587.75755601297,397.4819,0.018611111111111113,0,0.065,0.05,0.15,15,0.67,14577,0.375,5.466375,-1.2,54.1824,4,-0.23,4
21 Electric Lux,60000,300,0.024166666666666666,0,0.08,0.06,0.15,15,0.86,14577,0.375,5.466375,-1.4,67.083,4,-0.23,4
22 motorcycles Econ,36620,1000,0.010689655172413793,0.03614,0.046,0.04,0.15,12,0.2948275862068966,14577,0.375,5.466375,-0.1,20,4,-0.23,4
23 motorcycles Lux,38100.44,6480.6,0.01603448275862069,0.03604150175371148,0.065,0.05,0.15,12,0.44224137931034485,14577,0.375,5.466375,-0.3,30,4,-0.23,4
24 Adv motorcycles Econ,74410.45,33781,0.039587837837837835,0.06791081121001138,0.08,0.06,0.15,12,1.0918581081081082,14577,0.375,5.466375,-0.5,74.06756756756756,4,-0.23,4
25 Adv motorcycles Lux,10000,1000,0,0,0.046,0.04,0.15,12,0,14577,0.375,5.466375,0,0,4,-0.23,4
