,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate
1 Petrol Econ,19862.899556933495,2458.9,0.073,0.0042,0.038,0.02,0.15,11,2.53719512195122,12485,0.375,4.681875,0.6,175.82762195121953,4,-0.01449956969511509,4
2 Petrol  Mid,21628.66265826877,3611,0.075,0.0061,0.051,0.03,0.15,11,2.606707317073171,12485,0.375,4.681875,0.5,180.64481707317074,4,-0.01449956969511509,4
3 Petrol Lux,33256,12775,0.092,0.0079,0.064,0.03,0.15,11,3.1975609756097563,12485,0.375,4.681875,0.1,221.5909756097561,4,-0.01449956969511509,4
4 Adv Petrol Econ,19862.899556933495,2458.9,0.0584,0.0042,0.038,0.02,0.15,11,2.029756097560976,12485,0.375,4.681875,0,140.66209756097564,4,-0.01449956969511509,4
5 Adv Petrol Mid,21628.66265826877,3611,0.06,0.0061,0.051,0.03,0.15,11,2.0853658536585367,12485,0.375,4.681875,0,144.5158536585366,4,-0.01449956969511509,4
6 Adv Petrol Lux,33256,12775,0.0736,0.0079,0.064,0.03,0.15,11,2.5580487804878054,12485,0.375,4.681875,0,177.27278048780488,4,-0.01449956969511509,4
7 Diesel Econ,23835.479468320194,2458.9,0.04590611320754717,0.0042,0.038,0.02,0.15,11,2.7687124528301887,12485,0.375,4.681875,0,190.07999999999998,4,-0.01449956969511509,4
8 Diesel Mid,25954.395189922525,3611,0.048201418867924534,0.0061,0.051,0.03,0.15,11,2.9071480754716985,12485,0.375,4.681875,0,199.584,4,-0.01449956969511509,4
9 Diesel Lux,39907.2,12775,0.057382641509433965,0.0079,0.064,0.04,0.15,11,3.4608905660377363,12485,0.375,4.681875,0,237.6,4,-0.01449956969511509,4
10 Adv Diesel Econ,23835.479468320194,2458.9,0.03672489056603774,0.00042,0.038,0,0.15,11,2.2149699622641514,12485,0.375,4.681875,0,152.06400000000002,4,-0.01449956969511509,4
11 Adv Diesel Mid,25954.395189922525,3611,0.03856113509433962,0.0061,0.051,0,0.15,11,2.3257184603773586,12485,0.375,4.681875,0,159.6672,4,-0.01449956969511509,4
12 Adv Diesel Lux,39907.2,12775,0.04590611320754717,0.0079,0.064,0,0.15,11,2.7687124528301887,12485,0.375,4.681875,0,190.07999999999998,4,-0.01449956969511509,4
13 LPG Econ,17938.84,2283.82295486209,0.011630409356725149,0.00042,0.039,0.02,0.15,11,0.5233684210526317,12485,0.375,4.681875,0,45.2,4,-0.01449956969511509,4
14 LPG Mid,20749.23,4391.19518627269,0.013665730994152048,0.0061,0.056,0.03,0.15,11,0.6149578947368421,12485,0.375,4.681875,0,53.11,4,-0.01449956969511509,4
15 LPG Lux,29743.96,15587.9227900628,0.01541029239766082,0.0079,0.066,0.04,0.15,11,0.6934631578947369,12485,0.375,4.681875,0,59.89,4,-0.01449956969511509,4
16 Hybrid Econ,25210,500,0.045,0.0047,0.039,0.03,0.15,11,1.3267241379310346,12485,0.375,4.681875,0.1,90,4,-0.01449956969511509,4
17 Hybrid Mid,25050.174332344213,549,0.045,0.0042,0.056,0.04,0.15,11,1.4542852103241413,12485,0.375,4.681875,0.3,98.65326572959086,4,-0.0144995696951151,4
18 Hybrid Lux,33207.93342166098,6114.1,0.061,0.0055,0.066,0.04,0.15,11,2.151634559724587,12485,0.375,4.681875,-0.2,145.95883563043984,4,-0.0144995696951151,4
19 Electric Econ,30419.577464788734,1000,0.03149999999999999,0.00056,0.0133,0.04,0.15,11,0.63,12485,0.375,4.681875,0,28.80304222474461,4,-0.23,4
20 Electric Mid,31677.910714285714,4095.1,0.033749999999999995,0.0008,0.017849999999999998,0.05,0.15,11,0.67,12485,0.375,4.681875,-0.4,40.32425911464245,4,-0.23,4
21 Electric Lux,51431.55195484292,19951,0.045,0.01238,0.0224,0.06,0.15,11,0.87,12485,0.375,4.681875,-0.9,49.92527318955733,4,-0.23,4
22 motorcycles Econ,21000,1000,0.05224999999999999,0.0042,0.02565,0.04,0.15,12,0.5306896551724138,12485,0.375,4.681875,-0.1,36,4,-0.23,4
23 motorcycles Lux,29400,1749.5,0.05437499999999999,0.0061,0.034425,0.05,0.15,12,0.7370689655172414,12485,0.375,4.681875,-0.2,50,4,-0.23,4
24 Adv motorcycles Econ,53364.03600117613,21556,0.0685,0.0079,0.0432,0.06,0.15,12,1.2791094827586207,12485,0.375,4.681875,-0.7,86.77,4,-0.23,4
25 Adv motorcycles Lux,15000,1000,0,0,0.046,0.04,0.15,12,0,12485,0.375,4.681875,0,0,4,-0.23,4
